file_name,source_type,number,date,is_summary
lecture_1a_en.txt,lecture,1,2024-01-01,FALSE
lecture_1b_en.txt,lecture,1,2024-01-01,FALSE
lecture_2a_en.txt,lecture,2,2024-01-08,FALSE
lecture_2b_en.txt,lecture,2,2024-01-08,FALSE
lecture_3a_en.txt,lecture,3,2024-01-15,FALSE
lecture_3b_en.txt,lecture,3,2024-01-15,FALSE
lecture_4b_en.txt,lecture,4,2024-01-22,FALSE
lecture_4a_en.txt,lecture,4,2024-01-22,FALSE
lecture_5a_en.txt,lecture,5,2024-02-05,FALSE
lecture_5b_en.txt,lecture,5,2024-02-05,FALSE
lecture_6b_en.txt,lecture,6,2024-02-12,FALSE
lecture_6a_en.txt,lecture,6,2024-02-12,FALSE
lecture_7b_en.txt,lecture,7,2024-02-19,FALSE
lecture_7a_en.txt,lecture,7,2024-02-19,FALSE
lecture_8a_en.txt,lecture,8,2024-02-26,FALSE
lecture_8b_en.txt,lecture,8,2024-02-26,FALSE
lecture_9a_en.txt,lecture,9,2024-03-04,FALSE
lecture_9b_en.txt,lecture,9,2024-03-04,FALSE
lecture_10_en.txt,lecture,10,2024-03-11,FALSE
lecture_11a_en.txt,lecture,11,2024-03-18,FALSE
lecture_11b_en.txt,lecture,11,2024-03-18,FALSE
lecture_12a_en.txt,lecture,12,2024-03-25,FALSE
lecture_12b_en.txt,lecture,12,2024-03-25,FALSE
Recitation_1.txt,recitation,1,2024-01-01,FALSE
Recitation_2.txt,recitation,2,2024-01-08,FALSE
Recitation_3.txt,recitation,3,2024-01-15,FALSE
Recitation_4.txt,recitation,4,2024-01-22,FALSE
Recitation_5.txt,recitation,5,2024-02-05,FALSE
Recitation_6.txt,recitation,6,2024-02-12,FALSE
Recitation_7.txt,recitation,7,2024-02-19,FALSE
Recitation_8.txt,recitation,8,2024-02-26,FALSE
summary_of_lecture_1_en.txt,lecture,1,2024-01-01,TRUE
summary_of_lecture_2_en.txt,lecture,2,2024-01-08,TRUE
summary_of_lecture_3_en.txt,lecture,3,2024-01-15,TRUE
summary_of_lecture_4_en.txt,lecture,4,2024-01-22,TRUE
summary_of_lecture_5_en.txt,lecture,5,2024-02-05,TRUE
summary_of_lecture_6_en.txt,lecture,6,2024-02-12,TRUE
summary_of_lecture_7_en.txt,lecture,7,2024-02-19,TRUE
summary_of_lecture_8_en.txt,lecture,8,2024-02-26,TRUE
summary_of_lecture_9_en.txt,lecture,9,2024-03-04,TRUE
summary_of_lecture_10_en.txt,lecture,10,2024-03-11,TRUE
summary_of_lecture_11_en.txt,lecture,11,2024-03-18,TRUE
summary_of_lecture_12_en.txt,lecture,12,2024-03-25,TRUE
